step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,193,1,1.4832951169287842,0.0,0.5714285714285714
2,322,2,1.7094648675550708,0.0,0.4805194805194805
3,507,3,1.2090676610815623,0.0,0.6423357664233577
4,604,4,1.3428588865367541,0.0,0.4222222222222222
5,773,5,1.579792239752243,0.0,0.5565217391304348
6,1038,6,1.3384394419529109,0.0,0.6116504854368932
7,1303,7,1.2011147445150654,0.0,0.6150234741784038
8,1424,8,1.1724217125829988,0.0,0.6376811594202898
9,1585,9,1.7470190498980191,0.0,0.49019607843137253
10,1754,10,1.4307437983494515,0.0,0.5847457627118644
11,1939,11,0.9531692397243939,0.0,0.6788321167883211
12,2204,12,1.062973624049157,0.0,0.6713615023474179
13,2469,13,1.1532202913856247,0.0,0.6601941747572816
14,2638,14,1.2623659296208503,0.0,0.6347826086956522
15,2831,15,1.2322615416918332,0.0,0.6015037593984962
16,2960,16,1.2182832626852542,0.0,0.6103896103896104
17,3121,17,1.4936216698673104,0.0,0.5392156862745098
18,3218,18,0.8799854100655647,0.0,0.6444444444444445
19,3339,19,0.8917375223586884,0.0,0.7101449275362319
20,3508,20,1.23074365520556,0.0,0.6016949152542372
21,3701,21,1.0862496097386216,0.0,0.631578947368421
22,3886,22,0.7071905266764983,0.0,0.7737226277372263
23,4047,23,1.2922712261294347,0.0,0.5784313725490197
24,4144,24,0.728050077382407,0.0,0.7333333333333333
25,4409,25,0.8531962209759538,0.0,0.7136150234741784
26,4674,26,1.0013738843736524,0.0,0.6747572815533981
27,4843,27,1.1176993468343945,0.0,0.6186440677966102
28,5012,28,1.00212553360286,0.0,0.6782608695652174
29,5133,29,0.7495555761569801,0.0,0.7681159420289855
30,5262,30,0.9657718963989737,0.0,0.6753246753246753
31,5431,31,1.068847722501419,0.0,0.6440677966101694
32,5528,32,0.6140944694491189,0.0,0.7333333333333333
33,5793,33,0.9444691991625581,0.0,0.6844660194174758
34,5978,34,0.5873833179152864,0.0,0.7883211678832117
35,6139,35,1.1377246186688594,0.0,0.5882352941176471
36,6404,36,0.7910249578043546,0.0,0.7464788732394366
37,6533,37,0.9395524448042216,0.0,0.6493506493506493
38,6726,38,0.9239985376950269,0.0,0.6691729323308271
39,6847,39,0.7072521431587241,0.0,0.7681159420289855
40,7016,40,0.9460599870957888,0.0,0.6695652173913044
41,7185,41,1.0417542822833707,0.0,0.6610169491525424
42,7354,42,0.9460599870957888,0.0,0.6695652173913044

