step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,57,1,0.612377127715237,0.0,0.0
2,130,2,2.8746696139783467,0.0,0.6176470588235294
3,187,3,0.5386008522187227,0.0,0.0
4,244,4,0.5151482687544608,0.0,0.0
5,365,5,2.8052657104242438,0.0,0.5045871559633027
6,582,6,1.7836980007470467,0.0,0.6492890995260664
7,639,7,0.37236137675387515,0.0,0.0
8,776,8,2.3392470082760317,0.0,0.5303030303030303
9,985,9,1.9527201801095417,0.0,0.6127450980392157
10,1098,10,2.927639563554138,0.0,0.46534653465346537
11,1155,11,0.15596579463886362,0.0,0.5
12,1300,12,1.5543307611167094,0.0,0.6397058823529411
13,1357,13,0.09185693307713205,0.0,0.5
14,1486,14,2.1076183323814623,0.0,0.5213675213675214
15,1543,15,0.039071148572922015,1.0,1.0
16,1600,16,0.03473680001101456,1.0,1.0
17,1649,17,2.8778509344426375,0.0,0.4772727272727273
18,1706,18,0.036084287502370506,1.0,1.0
19,1763,19,0.0342352736498911,1.0,1.0
20,1844,20,2.661875513259671,0.0,0.48
21,1901,21,0.03430217874693751,1.0,1.0
22,1958,22,0.03155268807090968,1.0,1.0
23,2095,23,1.6686556890365063,0.0,0.5909090909090909
24,2312,24,1.2818345029756004,0.0,0.6919431279620853
25,2393,25,2.2516306121046656,0.0,0.56
26,2506,26,2.1027501044560832,0.0,0.5346534653465347
27,2635,27,1.5940030353339534,0.0,0.5811965811965812
28,2780,28,1.0209633929206918,0.0,0.7205882352941176
29,2837,29,0.027910433741282242,1.0,1.0
30,2894,30,0.030458216822745663,1.0,1.0
31,2951,31,0.028123602736975176,1.0,1.0
32,3024,32,1.3150737859807284,0.0,0.7352941176470589
33,3081,33,0.026692230382467576,1.0,1.0
34,3138,34,0.029851751157213065,1.0,1.0
35,3195,35,0.02907496487130369,1.0,1.0
36,3252,36,0.027997252437022065,1.0,1.0
37,3301,37,1.7509829198736404,0.0,0.6590909090909091
38,3422,38,1.9090399286818769,0.0,0.5688073394495413
39,3631,39,1.4038050838904326,0.0,0.6225490196078431
40,3688,40,0.025019304314477527,1.0,1.0
41,3801,41,1.6216798791173157,0.0,0.594059405940594
42,4018,42,0.943256045379143,0.0,0.7345971563981043
43,4075,43,0.02192629313830058,1.0,1.0
44,4132,44,0.02483184749637855,1.0,1.0
45,4277,45,0.6623446193018602,0.0,0.7794117647058824
46,4334,46,0.02189844523174023,1.0,1.0
47,4383,47,1.3807094437172538,0.0,0.7272727272727273
48,4512,48,1.1783362089700677,0.0,0.6666666666666666
49,4593,49,1.6174597872085432,0.0,0.6933333333333334
50,4650,50,0.023119804198213387,1.0,1.0
51,4707,51,0.019277411228041663,1.0,1.0
52,4764,52,0.019467497115630457,1.0,1.0
53,4821,53,0.02255128643092965,1.0,1.0
54,4878,54,0.021438021028058887,1.0,1.0
55,4999,55,1.5414213340378096,0.0,0.6605504587155964
56,5208,56,1.138144588766719,0.0,0.6617647058823529
57,5265,57,0.020046482750674062,1.0,1.0
58,5402,58,1.1202059709083836,0.0,0.696969696969697
59,5459,59,0.018754003862309868,1.0,1.0
60,5532,60,0.7985223047794635,0.0,0.8529411764705882
61,5581,61,0.9134615257556531,0.0,0.75
62,5638,62,0.018204289092141803,1.0,1.0
63,5695,63,0.018165440715498072,1.0,1.0
64,5752,64,0.020206408870820137,1.0,1.0
65,5809,65,0.019449664502847422,1.0,1.0
66,5866,66,0.01703389553576735,1.0,1.0
67,6011,67,0.4582925767476841,0.0,0.8602941176470589
68,6068,68,0.018536101605495788,1.0,1.0
69,6277,69,1.028725246269323,0.0,0.7009803921568627
70,6350,70,0.6949134847567456,0.0,0.8676470588235294
71,6431,71,1.2813839704727361,0.0,0.7333333333333333
72,6488,72,0.019460892945207888,1.0,1.0
73,6617,73,0.9350524679705654,0.0,0.7521367521367521
74,6674,74,0.015999711750139662,1.0,1.0
75,6731,75,0.016499089818743023,1.0,1.0
76,6844,76,1.2172726240183742,0.0,0.6732673267326733
77,6901,77,0.020023182257739663,1.0,1.0
78,7118,78,0.7343105234257012,0.0,0.7725118483412322
79,7239,79,1.3428892652370268,0.0,0.6605504587155964
80,7376,80,0.9735030567545505,0.0,0.7424242424242424
81,7449,81,0.6854322533961267,0.0,0.8676470588235294

